word,value
rise, 6
fall, -5
buy, 8
sell, -3
welcome, 10
risk, -10
struggle, -9
Better, 10
litecoin, 10
crypto, 10
cryptocurrency, 10
yes, 10
Check, 5
out, 8
lucky, 10
privacy, 3
news, 2
accept, 8
auctioning, -5
monero, 6
