date,close
2018-05-15 20:11:25,-63
2018-05-15 20:11:35,-112
2018-05-15 20:11:45,-112
2018-05-15 20:11:50,-112
2018-05-15 20:14:10,-66
2018-05-15 20:14:15,-66
2018-05-15 20:14:20,-66
2018-05-15 20:14:25,-66
2018-05-15 20:14:30,-46
2018-05-15 20:14:35,-46
2018-05-15 20:14:40,-46
2018-05-15 20:14:45,-46
2018-05-15 20:14:50,-9
2018-05-15 20:14:55,-9
2018-05-15 20:15:00,-9
2018-05-15 20:15:05,-9
2018-05-15 20:15:10,37
2018-05-15 20:15:15,37
2018-05-15 20:15:20,37
2018-05-15 20:15:25,37
2018-05-15 20:15:35,-42
2018-05-15 20:15:40,-42
2018-05-15 20:15:45,-42
2018-05-15 20:15:50,-42
2018-05-15 20:15:55,-67
2018-05-15 20:16:00,-67
2018-05-15 20:16:05,-67
2018-05-15 20:16:10,-67
2018-05-15 20:16:15,51
2018-05-15 20:16:25,51
2018-05-15 20:16:35,-69
2018-05-15 20:16:50,-69
2018-05-15 20:16:55,-89
2018-05-15 20:17:00,-89
2018-05-15 20:17:05,-89
2018-05-15 20:17:15,-85
2018-05-15 20:17:25,-85
2018-05-15 20:17:35,46
2018-05-15 20:17:40,-59
2018-05-15 20:17:45,-59
2018-05-15 20:17:55,-59
2018-05-15 20:18:00,-64
2018-05-15 20:18:05,-64
2018-05-15 20:18:10,-64
2018-05-15 20:18:15,-64
2018-05-15 20:18:20,-62
2018-05-15 20:18:25,-62
2018-05-15 20:18:35,-62
2018-05-15 20:18:40,-60
2018-05-15 20:18:45,-60
2018-05-15 20:18:55,-60
2018-05-15 20:19:00,18
2018-05-15 20:19:05,18
2018-05-15 20:19:10,18
2018-05-15 20:19:15,18
2018-05-15 20:19:20,-65
2018-05-15 20:19:25,-65
2018-05-15 20:19:35,-65
2018-05-15 20:19:40,-94
2018-05-15 20:19:45,-94
2018-05-15 20:19:50,-94
2018-05-15 20:19:55,-94
2018-05-15 20:20:05,-77
2018-05-15 20:20:10,-77
2018-05-15 20:20:15,-77
2018-05-15 20:20:25,-77
2018-05-15 20:20:35,150
2018-05-15 20:20:40,150
2018-05-15 20:20:45,150
2018-05-15 20:20:55,30
2018-05-15 20:21:00,30
2018-05-15 20:21:05,30
2018-05-15 20:21:10,30
2018-05-15 20:21:15,30
2018-05-15 20:21:20,149
2018-05-15 20:21:25,149
2018-05-15 20:21:30,149
2018-05-15 20:21:35,149
2018-05-15 20:21:45,-53
2018-05-15 20:21:50,-53
2018-05-15 20:21:55,-53
2018-05-15 20:22:00,-53
2018-05-15 20:22:05,-79
2018-05-15 20:22:17,-79
2018-05-15 20:22:20,-79
2018-05-15 20:22:25,-70
2018-05-15 20:22:35,-70
2018-05-15 20:22:40,-70
2018-05-15 20:22:45,-102
2018-05-15 20:22:50,-102
2018-05-15 20:22:55,-102
2018-05-15 20:23:00,-102
2018-05-15 20:23:05,-80
2018-05-15 20:23:10,-80
2018-05-15 20:23:15,-80
2018-05-15 20:23:20,-80
2018-05-15 20:23:25,-70
2018-05-15 20:23:35,-70
2018-05-15 20:23:45,-71
2018-05-15 20:23:55,-71
2018-05-15 20:24:00,-71
2018-05-15 20:24:05,0
2018-05-15 20:24:15,0
2018-05-15 20:24:25,35
2018-05-15 20:24:35,35
2018-05-15 20:24:40,35
2018-05-15 20:24:45,5
2018-05-15 20:24:50,5
2018-05-15 20:24:55,5
2018-05-15 20:25:05,-82
2018-05-15 20:25:15,-82
2018-05-15 20:27:40,-54
2018-05-15 20:27:45,-54
2018-05-15 20:27:50,-54
2018-05-15 20:27:55,-54
2018-05-15 20:28:00,-115
2018-05-15 20:28:06,-115
2018-05-15 20:28:10,-115
2018-05-15 20:28:15,-115
2018-05-15 20:28:25,-43
2018-05-15 20:28:30,-43
2018-05-15 20:28:35,-43
2018-05-15 20:28:40,-43
2018-05-15 20:28:45,186
2018-05-15 20:28:55,186
2018-05-15 20:29:00,186
2018-05-15 20:29:05,-55
2018-05-15 20:29:10,-55
2018-05-15 20:29:15,-55
2018-05-15 20:29:20,-55
2018-05-15 20:29:25,-45
2018-05-15 20:29:30,-45
2018-05-15 20:29:35,-45
2018-05-15 20:29:45,-115
2018-05-15 20:29:55,-115
2018-05-15 20:30:05,-149
2018-05-15 20:30:15,-149
2018-05-15 20:30:25,-56
2018-05-15 20:30:30,-56
2018-05-15 20:30:35,-56
2018-05-15 20:30:40,-56
2018-05-15 20:30:45,23
2018-05-15 20:30:50,23
2018-05-15 20:30:55,23
2018-05-15 20:31:05,-90
2018-05-15 20:31:15,-90
2018-05-15 20:31:20,-90
2018-05-15 20:31:25,-75
2018-05-15 20:31:35,-75
2018-05-15 20:31:40,-75
2018-05-15 20:31:45,-72
2018-05-15 20:31:55,-72
2018-05-15 20:32:05,-85
2018-05-15 20:32:10,-85
2018-05-15 20:32:15,-85
2018-05-15 20:32:20,-85
2018-05-15 20:32:25,-38
2018-05-15 20:32:35,-38
2018-05-15 20:32:40,-38
2018-05-15 20:32:45,22
2018-05-15 20:32:50,22
2018-05-15 20:32:55,22
2018-05-15 20:33:05,25
2018-05-15 20:33:10,25
2018-05-15 20:33:15,25
2018-05-15 20:33:25,-74
2018-05-15 20:33:30,-74
2018-05-15 20:33:35,-74
2018-05-15 20:33:45,-5
2018-05-15 20:33:50,-5
2018-05-15 20:33:55,-19
2018-05-15 20:34:05,-21
2018-05-15 20:34:15,-21
2018-05-15 20:34:22,-21
2018-05-15 20:34:25,-100
2018-05-15 20:34:30,-100
2018-05-15 20:34:35,-100
2018-05-15 20:34:45,-71
2018-05-15 20:34:55,-71
2018-05-15 20:35:00,-71
2018-05-15 20:35:05,-90
2018-05-15 20:35:15,-90
2018-05-15 20:35:25,-85
2018-05-15 20:35:30,-85
2018-05-15 20:35:35,-85
2018-05-15 20:35:41,-85
2018-05-15 20:35:45,1
2018-05-15 20:35:55,1
2018-05-15 20:36:00,1
2018-05-15 20:36:05,-45
2018-05-15 20:36:10,-45
2018-05-15 20:36:15,-45
2018-05-15 20:36:35,-74
2018-05-15 20:36:45,-74
2018-05-15 20:36:55,-67
2018-05-15 20:37:00,-67
2018-05-15 20:37:05,-67
2018-05-15 20:37:10,-67
2018-05-15 20:37:15,2
2018-05-15 20:37:20,2
2018-05-15 20:37:25,2
2018-05-15 20:37:35,25
2018-05-15 20:37:40,25
2018-05-15 20:37:45,25
2018-05-15 20:37:50,25
2018-05-15 20:37:55,-77
2018-05-15 20:38:05,-77
2018-05-15 20:38:15,-69
2018-05-15 20:38:25,-69
2018-05-15 20:38:30,-49
2018-05-15 20:38:35,-49
2018-05-15 20:38:45,-49
2018-05-15 20:38:55,22
2018-05-15 20:39:05,22
2018-05-15 20:39:15,22
2018-05-15 20:39:25,20
2018-05-15 20:39:35,20
2018-05-15 20:39:40,20
2018-05-15 20:39:45,36
2018-05-15 20:39:50,36
2018-05-15 20:39:55,36
2018-05-15 20:40:05,-88
2018-05-15 20:40:15,-88
2018-05-15 20:40:22,-88
2018-05-15 20:40:25,-80
2018-05-15 20:40:35,-80
2018-05-15 20:40:45,36
2018-05-15 20:40:50,36
2018-05-15 20:40:55,36
2018-05-15 20:41:05,-70
2018-05-15 20:41:15,-70
2018-05-15 20:41:20,-70
2018-05-15 20:41:25,-85
2018-05-15 20:41:35,-85
2018-05-15 20:41:40,-85
2018-05-15 20:41:45,-65
2018-05-15 20:41:55,-65
2018-05-15 20:42:05,-119
2018-05-15 20:42:10,-119
2018-05-15 20:42:15,-119
2018-05-15 20:42:25,-100
2018-05-15 20:42:30,-100
2018-05-15 20:42:35,-100
2018-05-15 20:42:45,15
2018-05-15 20:43:31,-73
2018-05-15 20:43:36,-73
2018-05-15 20:43:46,-73
2018-05-15 20:43:51,-104
2018-05-15 20:43:55,-104
2018-05-15 20:44:05,-104
2018-05-15 20:44:15,-67
2018-05-15 20:44:25,-67
2018-05-15 20:44:30,-67
2018-05-15 20:44:35,-67
2018-05-15 20:44:40,-67
2018-05-15 20:44:45,-67
2018-05-15 20:44:55,40
2018-05-15 20:45:05,40
2018-05-15 20:45:15,-95
2018-05-15 20:45:20,-95
2018-05-15 20:45:25,-95
2018-05-15 20:45:30,-95
2018-05-15 20:45:35,1
2018-05-15 20:45:40,1
2018-05-15 20:45:50,1
2018-05-15 20:45:55,-7
2018-05-15 20:46:05,-7
2018-05-15 20:46:15,-80
2018-05-15 20:46:25,-80
2018-05-15 20:46:35,-70
2018-05-15 20:46:40,-70
2018-05-15 20:46:45,-70
2018-05-15 20:46:50,-70
2018-05-15 21:00:10,-67
2018-05-15 21:00:15,-67
2018-05-15 21:00:25,-67
2018-05-15 21:00:35,-101
2018-05-15 21:00:45,-101
2018-05-15 21:01:05,-100
2018-05-15 21:01:10,-100
2018-05-15 21:01:15,-100
2018-05-15 21:01:20,-100
2018-05-15 21:01:25,-107
2018-05-15 21:01:35,-107
2018-05-15 21:01:45,-117
2018-05-15 21:02:00,-117
2018-05-15 21:02:05,-65
2018-05-15 21:02:10,-65
2018-05-15 21:02:15,-65
2018-05-15 21:02:25,-72
2018-05-15 21:02:30,-72
2018-05-15 21:02:36,-72
2018-05-15 21:02:40,-72
2018-05-15 21:02:46,-60
2018-05-15 21:02:55,-60
2018-05-15 21:03:05,-60
2018-05-15 21:03:10,-45
2018-05-15 21:03:15,-45
2018-05-15 21:03:20,-45
2018-05-15 21:03:25,-45
2018-05-15 21:03:35,128
2018-05-15 21:03:45,128
2018-05-15 21:03:55,-41
2018-05-15 21:04:05,-41
2018-05-15 21:04:10,-41
2018-05-15 21:04:16,-19
2018-05-15 21:04:35,-19
2018-05-15 21:04:45,-95
2018-05-15 21:04:50,-95
2018-05-15 21:04:55,-95
2018-05-15 21:05:00,-95
2018-05-15 21:05:05,35
2018-05-15 21:05:15,35
2018-05-15 21:05:30,-80
2018-05-15 21:05:35,-80
2018-05-15 21:05:45,-80
2018-05-15 21:05:50,-69
